Concrete Strain	Neutral Axis	Steel Strain	Tendon Strain	Concrete Compression	Steel Compression	Steel Tension	Prestress Force	Net Force	Curvature	Moment
-2.304E-04	0	-2.304E-04	0	-98176	-21819	0	0	-119995	0	0
-3.999E-04	-40.7655	-8.910E-05	0	-98180	-21820	0	0	-120000	5.651E-06	913548
-6.394E-04	-15.2581	1.376E-04	0	-99597	-23676	3258.986	0	-120014	1.413E-05	1937915
-9.068E-04	-5.6554	4.920E-04	0	-106380	-28018	14396	0	-120002	2.543E-05	2754753
-1.225E-03	-0.954	9.513E-04	0	-116452	-33308	29734	0	-120027	3.956E-05	3575314
-1.611E-03	1.497	1.497E-03	0	-128032	-41266	49279	0	-120019	5.651E-05	4446063
-2.077E-03	2.7758	2.119E-03	0	-138874	-51859	70728	0	-120005	7.63E-05	5316293
-2.541E-03	4.3112	2.899E-03	0	-140733	-61232	81963	0	-120002	9.89E-05	5698041
-3.160E-03	4.5836	3.678E-03	0	-146136	-64525	90642	0	-120019	0.0001243	5873203
-3.821E-03	4.9559	4.571E-03	0	-146443	-67159	93584	0	-120018	0.0001526	5862683
-4.703E-03	4.3956	5.399E-03	0	-141949	-72485	94391	0	-120043	0.0001837	5649234
-6.350E-03	0.8161	5.617E-03	0	-122764	-81647	84449	0	-119961	0.0002176	4752568
-8.653E-03	-4.0238	5.335E-03	0	-103846	-97800	81647	0	-119999	0.0002543	3852202
-0.0106	-5.9231	5.606E-03	0	-90378	-109123	79497	0	-120004	0.0002939	3464476
-0.0127	-7.8209	5.777E-03	0	-78787	-115015	73824	0	-119978	0.0003363	3144767
-0.0151	-9.6824	5.843E-03	0	-69463	-116517	65955	0	-120025	0.0003815	2894870
-0.0175	-10.7936	6.102E-03	0	-62574	-117987	60557	0	-120003	0.0004295	2774179
-0.0199	-11.4912	6.489E-03	0	-56456	-120156	56637	0	-119975	0.0004804	2731029
-0.0224	-12.0024	6.942E-03	0	-50781	-122397	53183	0	-119994	0.0005341	2719047
-0.025	-12.327	7.484E-03	0	-45921	-124679	50601	0	-120000	0.0005906	2735654
-0.0276	-12.5263	8.107E-03	0	-41696	-127286	48988	0	-119994	0.0006499	2771843
-0.0304	-12.6826	8.771E-03	0	-37841	-131169	48988	0	-120022	0.0007121	2808521
-0.0333	-12.8197	9.465E-03	0	-34433	-134558	48988	0	-120002	0.0007771	2830555
-0.0362	-12.88	0.0102	0	-31495	-137656	49152	0	-119998	0.0008449	2867627
-0.0393	-12.9294	0.0111	0	-28882	-140839	49708	0	-120014	0.0009155	2915353
-0.0425	-12.9468	0.0119	0	-26607	-143707	50303	0	-120011	0.000989	2968767
-0.0458	-12.9608	0.0128	0	-24571	-146356	50922	0	-120005	0.001065	3019178
-0.0492	-12.9766	0.0138	0	-22730	-148838	51562	0	-120006	0.001144	3063826
-0.0527	-12.984	0.0147	0	-21076	-151162	52230	0	-120007	0.001226	3107685
-0.0564	-12.9805	0.0158	0	-19592	-153346	52931	0	-120007	0.001311	3154341
-0.0601	-12.9692	0.0168	0	-18258	-155411	53663	0	-120007	0.001399	3203514
-0.064	-12.9522	0.0179	0	-17055	-157376	54425	0	-120007	0.001489	3255007
-0.0679	-12.9338	0.0191	0	-15963	-159258	55214	0	-120007	0.001582	3306079
-0.072	-12.9153	0.0203	0	-14966	-161071	56029	0	-120008	0.001678	3356461
-0.0762	-12.8973	0.0215	0	-14054	-162824	56869	0	-120009	0.001777	3406725
-0.0806	-12.8774	0.0228	0	-13223	-164524	57737	0	-120010	0.001879	3458730
-0.085	-12.8571	0.0241	0	-12464	-166180	58633	0	-120011	0.001984	3511531
-0.0896	-12.844	0.0254	0	-11745	-167785	59544	0	-119987	0.002091	3561050
-0.0943	-12.8251	0.0268	0	-11102	-169052	60169	0	-119985	0.002201	3606103
-0.0991	-12.8	0.0282	0	-10531	-170055	60576	0	-120011	0.002314	3648738
-0.1347	-25.4243	-1.031E-03	0	-8825	-111166	0	0	-119991	0.00243	1336669
-0.1412	-25.4028	-1.027E-03	0	-8312	-111702	0	0	-120014	0.002549	1325269
-0.1479	-25.3817	-1.019E-03	0	-7838	-112187	0	0	-120024	0.00267	1313197
-0.1547	-25.361	-1.009E-03	0	-7400	-112613	0	0	-120013	0.002795	1300241
-0.1617	-25.3411	-9.965E-04	0	-6995	-113004	0	0	-119998	0.002922	1286861
-0.1688	-25.3232	-9.865E-04	0	-6613	-113420	0	0	-120033	0.003052	1275541
-0.1761	-25.3051	-9.716E-04	0	-6263	-113735	0	0	-119998	0.003185	1262191
-0.1836	-25.2884	-9.574E-04	0	-5935	-114060	0	0	-119995	0.00332	1249584
-0.1912	-25.2729	-9.439E-04	0	-5627	-114361	0	0	-119988	0.003459	1237263
-0.1951	-25.2651	-9.357E-04	0	-5481	-114481	0	0	-119963	0.003529	1230429
