SAP IDEALIZADO INTEGRACION EXACTA										
Curvature	Moment
0	0.00E+00
2.62E-07	3.43E+04
6.54E-07	8.58E+04
1.18E-06	1.55E+05
1.83E-06	2.40E+05
2.62E-06	3.43E+05
3.53E-06	4.64E+05
4.58E-06	6.00E+05
5.76E-06	7.47E+05
7.06E-06	9.05E+05
8.50E-06	1.08E+06
1.01E-05	1.25E+06
1.18E-05	1.41E+06
1.36E-05	1.55E+06
1.56E-05	1.67E+06
1.77E-05	1.78E+06
1.99E-05	1.87E+06
2.22E-05	1.95E+06
2.47E-05	2.02E+06
2.73E-05	2.08E+06
3.01E-05	2.14E+06
3.30E-05	2.19E+06
3.60E-05	2.23E+06
3.91E-05	2.28E+06
4.24E-05	2.31E+06
4.58E-05	2.35E+06
4.93E-05	2.38E+06
5.30E-05	2.40E+06
5.68E-05	2.43E+06
6.07E-05	2.45E+06
6.48E-05	2.47E+06
6.89E-05	2.49E+06
7.33E-05	2.50E+06
7.77E-05	2.52E+06
8.23E-05	2.53E+06
8.70E-05	2.54E+06
9.18E-05	2.55E+06
9.68E-05	2.56E+06
0.0001019	2.57E+06
0.0001071	2.57E+06
0.0001125	2.58E+06
0.000118	2.58E+06
0.0001236	2.58E+06
0.0001294	2.59E+06
0.0001353	2.59E+06
0.0001413	2.59E+06
0.0001474	2.58E+06
0.0001537	2.58E+06
0.0001601	2.58E+06
0.0001667	2.57E+06
SAP IDEALIZADO MODELO DE FIBRAS										
Curvature	Moment
0	0.00E+00
2.62E-07	3.05E+04
6.54E-07	7.63E+04
1.18E-06	1.37E+05
1.83E-06	2.14E+05
2.62E-06	3.05E+05
3.53E-06	4.12E+05
4.58E-06	5.34E+05
5.76E-06	6.71E+05
7.06E-06	8.14E+05
8.50E-06	9.62E+05
1.01E-05	1.12E+06
1.18E-05	1.30E+06
1.36E-05	1.49E+06
1.56E-05	1.60E+06
1.77E-05	1.65E+06
1.99E-05	1.71E+06
2.22E-05	1.77E+06
2.47E-05	1.83E+06
2.73E-05	1.90E+06
3.01E-05	1.97E+06
3.30E-05	2.04E+06
3.60E-05	2.11E+06
3.91E-05	2.17E+06
4.24E-05	2.23E+06
4.58E-05	2.30E+06
4.93E-05	2.37E+06
5.30E-05	2.40E+06
5.68E-05	2.40E+06
6.07E-05	2.40E+06
6.48E-05	2.40E+06
6.89E-05	2.40E+06
7.33E-05	2.40E+06
7.77E-05	2.40E+06
8.23E-05	2.40E+06
8.70E-05	2.40E+06
9.18E-05	2.40E+06
9.68E-05	2.40E+06
0.0001019	2.40E+06
0.0001071	2.40E+06
0.0001125	2.40E+06
0.000118	2.40E+06
0.0001236	2.40E+06
0.0001294	2.40E+06
0.0001353	2.40E+06
0.0001413	2.40E+06
0.0001474	2.40E+06
0.0001537	2.40E+06
0.0001601	2.40E+06
0.0001667	2.40E+06
